min for pruning,max depth,min samples leaf,train acc,train MSE,valid acc,valid MSE
10,3,0.15,0.8758216795398349,264.1419114246817,0.8741442689592585,270.39365187628954
10,3,0.2,0.8782497461545228,256.3586647776732,0.8760660356942731,264.43839051866314
10,3,0.25,0.880449587240415,250.49008926829706,0.8790988458561342,256.81449501012514
10,5,0.1,0.8831855050078741,236.06192118413384,0.8746988096325182,270.4038432264607
10,5,0.15,0.8864957557126765,225.65603403033055,0.8763586539756749,269.235491799682
10,5,0.2,0.8891753100972017,217.9632693572497,0.8798844634899398,257.62687813951953
10,5,0.25,0.8934996688288088,207.52000986836183,0.8794856357907695,265.2613429711604
10,8,0.1,0.8964522944484706,192.69866824626342,0.8722196018225509,284.43159622458927
10,8,0.15,0.9053778462579427,164.52138992681375,0.8744103041844943,285.7564504469067
10,8,0.2,0.912071897863018,148.16211717899722,0.8765337928454064,281.1848649735436
10,8,0.25,0.9159369942448686,135.88294780671572,0.8714583411665118,305.12709086200465
10,10,0.1,0.9039845985895175,167.78154784767904,0.8689300659778961,302.0354332334932
10,10,0.15,0.9140941737426612,138.1264606238935,0.8718617419078958,297.3806077047185
10,10,0.2,0.9214109875621872,119.1830002260433,0.875284215610052,288.6083836891361
10,10,0.25,0.9234351715315829,113.88966329370719,0.8691020075438726,318.14368969544023
10,12,0.1,0.9114770306696961,146.6532105254874,0.8679966986099039,303.6733257403927
10,12,0.15,0.9202868153939956,118.76201913688405,0.8699666377468844,301.7788680622115
10,12,0.2,0.9270604626161143,103.07969167868018,0.8732131658368315,300.03102819130845
10,12,0.25,0.9267205670774515,104.72342961655247,0.8690010988287972,320.19173191071917
10,15,0.1,0.9206252866256811,120.91609159892842,0.867672209422302,306.5900355551604
10,15,0.15,0.9273849795421253,100.15662611351019,0.8686542171282984,310.1724942820214
10,15,0.2,0.93053157593032,94.15651618146715,0.8725933936077505,302.1794740538296
10,15,0.25,0.9282954127757653,100.3931766463018,0.8686713149730195,324.0524694504603
25,3,0.1,0.8763672236079957,264.50228190711215,0.8743250389248317,271.9370204185214
25,3,0.15,0.8758216795398349,264.1419114246817,0.8741442689592585,270.39365187628954
25,3,0.2,0.8782497461545228,256.3586647776732,0.8760660356942731,264.43839051866314
25,3,0.25,0.880449587240415,250.49008926829706,0.8790988458561342,256.81449501012514
25,5,0.1,0.8831223235903263,236.3134328922812,0.874645425846116,270.4694703762274
25,5,0.15,0.8863658908383172,225.96750478009676,0.8762951657305397,268.669034514769
25,5,0.2,0.8889768375855696,218.985650752406,0.8797482832768928,257.53258423934705
25,5,0.25,0.893406261991202,208.0352753806695,0.8796190428579074,264.59770235603435
25,8,0.1,0.8914778710215817,206.81073809923296,0.8727072468258565,278.16268527498715
25,8,0.15,0.8983709321802322,183.61887938878266,0.8753467421010127,272.87611163063633
25,8,0.2,0.9028679215656515,173.3316654802912,0.8768313154072171,275.30879888121297
25,8,0.25,0.9042101555145825,169.31298052995234,0.8741553102036665,285.38644390510865
25,10,0.1,0.8951383866927148,192.93933747188953,0.8710199030066155,286.56390349251967
