dine_in,delivery,reservable,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,wheelchair_accessible_entrance,curbside_pickup,place_id,name,rating,price_level,user_ratings_total,website,city,street,street_number,full_address,geo_location,sunday_activity_hours,monday_activity_hours,tuesday_activity_hours,wednesday_activity_hours,thursday_activity_hours,friday_activity_hours,saturday_activity_hours,open_activity_hour,close_activity_hour,open_on_saturday
True,True,,False,,,,True,,False,True,,,ChIJnWMz69C7HRUR_HZ3BIiLLq0,שווארמה האחים,3.8,,8,False,חיפה,דוד אלעזר,10,"דוד אלעזר 10, חיפה","{'lat': 32.8053632, 'lng': 34.9567044}","[660, 1380]","[660, 1380]","[660, 1380]","[660, 1380]","[660, 1380]","[720, 1200]","[660, 1380]",660.0,1380.0,True
True,False,True,True,False,,True,True,True,True,True,True,True,ChIJsfxONcO7HRURre1U_4SxEYM,מסעדג,4.2,2.0,654,True,חיפה,רציף פנחס מרגולין,29,"רציף פנחס מרגולין 29, חיפה","{'lat': 32.8337313, 'lng': 34.9766935}","[720, 1260]","[720, 1260]","[720, 1260]","[720, 1260]","[720, 1260]","[720, 900]","[-1, -1]",720.0,1260.0,False
True,,,,,,,True,,,True,,,ChIJgU0BiMK7HRURfD_SpelST68,מיסדג,4.4,,7,False,חיפה,רציף פנחס מרגולין,,"רציף פנחס מרגולין, חיפה","{'lat': 32.8338474, 'lng': 34.97679290000001}",,,,,,,,,,
True,,,,,,,True,,,True,,,ChIJ3QR44be7HRURiLIhsZh-2gY,ג'והרה הדרוזית בבת-גלים,1.0,,1,False,חיפה,שדרות בת גלים,14,"שדרות בת גלים 14, חיפה","{'lat': 32.8324958, 'lng': 34.9776281}",,,,,,,,,,
True,False,False,True,True,True,,True,True,True,True,True,True,ChIJmYr_XMO7HRURllKet14N15U,Millhouse Café,4.6,2.0,1424,True,חיפה,שדרות בת גלים,14,"שדרות בת גלים 14, חיפה","{'lat': 32.832304, 'lng': 34.977924}","[-1, -1]","[540, 960]","[540, 960]","[540, 960]","[540, 960]","[540, 960]","[540, 960]",431.8,767.8,True
True,False,True,True,True,True,True,True,,True,True,True,,ChIJNUENQ3m7HRURAONwqn2THiE,טורטוגה -Tortuga,4.1,2.0,828,False,חיפה,דוד אלעזר,10,"דוד אלעזר 10, חיפה","{'lat': 32.8047811, 'lng': 34.9564105}","[510, 1440]","[510, 1440]","[510, 1440]","[510, 1440]","[510, 1440]","[480, 1500]","[480, 1500]",510.0,1440.0,True
True,,True,True,False,False,True,True,,True,True,True,,ChIJMTinXsO7HRURN4DONv0Oi3A,מסעדת דולפין,4.2,2.0,1227,True,חיפה,שדרות בת גלים,13,"שדרות בת גלים 13, חיפה","{'lat': 32.8325541, 'lng': 34.9779654}","[-1, -1]","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]",575.8,1103.8,True
True,,True,True,,,True,True,,True,True,,,ChIJO2RBCL67HRURE7wSUmb9-2E,מסעדת אבו זייד,4.2,,85,True,חיפה,halia hashnya,52,"halia hashnya 52, חיפה","{'lat': 32.83220689999999, 'lng': 34.9783128}","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]",720.0,1320.0,True
True,,True,True,False,False,True,True,,True,True,True,,ChIJv7eto8S7HRURfeTxPrlZ4wU,מסעדת אבו זיד,4.3,2.0,1226,True,חיפה,העליה,52,"העליה 52, חיפה","{'lat': 32.832289, 'lng': 34.978425}","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]",720.0,1320.0,True
True,False,,False,True,,,True,,False,True,True,True,ChIJTSfFsHu7HRURTKg_M2x7_Fg,בורקס טורקי,4.2,1.0,236,True,חיפה,כביש 2,,"כביש 2, חיפה","{'lat': 32.8036365, 'lng': 34.9580746}","[0, 2880]","[0, 2880]","[0, 2880]","[0, 2880]","[0, 2880]","[0, 2880]","[0, 2880]",0.0,2880.0,True
True,,True,True,,,True,True,,,True,True,,ChIJa-A1j4G7HRURVPdhph6-HDY,Hagalil Restaurant,4.0,2.0,441,False,חיפה,,,Israel,"{'lat': 32.8033242, 'lng': 34.95826810000001}","[660, 1380]","[660, 1380]","[660, 1380]","[660, 1380]","[660, 1260]","[660, 1380]","[660, 1380]",660.0,1356.0,True
True,True,True,True,False,False,True,True,True,True,True,True,False,ChIJr6PbZ1S7HRURD-QJPgPPAmI,מסעדת לב הגליל,4.9,,15,True,חיפה,שדרות ההגנה,20,"שדרות ההגנה 20, חיפה","{'lat': 32.803219, 'lng': 34.9583922}","[661, 1320]","[661, 1320]","[661, 1320]","[661, 1320]","[661, 1320]","[661, 1320]","[661, 1320]",661.0,1320.0,True
True,,True,,,,True,True,,,True,,,ChIJVyTFSUW7HRURIZpJ606B-KA,סמיראמיס מסעדת לב הגליל,5.0,,4,True,חיפה,שדרות ההגנה,20,"שדרות ההגנה 20, חיפה","{'lat': 32.8032115, 'lng': 34.9584787}","[600, 1320]","[600, 1320]","[600, 1320]","[600, 1320]","[600, 1320]","[600, 1320]","[600, 1320]",600.0,1320.0,True
True,False,True,True,True,True,True,True,True,True,True,True,,ChIJReErqWS7HRUR1veGCC8FGEg,נירוונה פרש קיטשן,4.1,2.0,2259,True,חיפה,דוד אלעזר,2,"חוף דדו, דוד אלעזר 2, חיפה","{'lat': 32.8004608, 'lng': 34.95647809999999}","[510, 1200]","[510, 1200]","[510, 1200]","[510, 1200]","[510, 1200]","[510, 1200]","[510, 1200]",510.0,1200.0,True
True,,,,,,,,,,True,,,ChIJjwU2mtu7HRURh87_wHiFKmk,סינמה פרדיסו,3.4,,11,False,,,,חוף זמיר,"{'lat': 32.7992252, 'lng': 34.9560025}",,,,,,,,,,
