station_id,geo_location
9708,"{'lat': 32.773304, 'lng': 35.012835}"
9659,"{'lat': 32.800603, 'lng': 34.982952}"
9637,"{'lat': 32.799425, 'lng': 35.009302}"
9713,"{'lat': 32.802049, 'lng': 35.002199}"
9673,"{'lat': 32.785962, 'lng': 35.019031}"
22690,"{'lat': 32.758433, 'lng': 35.021152}"
22731,"{'lat': 32.817941, 'lng': 34.970497}"
30524,"{'lat': 32.822142, 'lng': 34.989247}"
30529,"{'lat': 32.809163, 'lng': 35.001589}"
30531,"{'lat': 32.817201, 'lng': 35.002301}"
30535,"{'lat': 32.810497, 'lng': 35.004328}"
30537,"{'lat': 32.812463, 'lng': 34.994974}"
30538,"{'lat': 32.816266, 'lng': 35.003215}"
30541,"{'lat': 32.807454, 'lng': 35.000618}"
30544,"{'lat': 32.807946, 'lng': 34.990139}"
30545,"{'lat': 32.808348, 'lng': 34.989822}"
29036,"{'lat': 32.809598, 'lng': 35.009832}"
30513,"{'lat': 32.81227, 'lng': 35.039591}"
26798,"{'lat': 32.784875, 'lng': 34.982767}"
30519,"{'lat': 32.821536, 'lng': 34.997088}"
10361,"{'lat': 32.816391, 'lng': 34.991008}"
10371,"{'lat': 32.820688, 'lng': 34.992913}"
10410,"{'lat': 32.794811, 'lng': 35.006584}"
10420,"{'lat': 32.799352, 'lng': 35.012711}"
5012,"{'lat': 32.831494, 'lng': 35.066262}"
10224,"{'lat': 32.812845, 'lng': 34.988512}"
10266,"{'lat': 32.809067, 'lng': 35.015065}"
10326,"{'lat': 32.814043, 'lng': 34.991228}"
10300,"{'lat': 32.818689, 'lng': 34.957599}"
10302,"{'lat': 32.814563, 'lng': 34.956875}"
10351,"{'lat': 32.811019, 'lng': 34.991154}"
10360,"{'lat': 32.817051, 'lng': 34.989553}"
10362,"{'lat': 32.812734, 'lng': 34.99181}"
10417,"{'lat': 32.798143, 'lng': 35.009356}"
10407,"{'lat': 32.790111, 'lng': 35.018268}"
10427,"{'lat': 32.828638, 'lng': 35.059941}"
10349,"{'lat': 32.826282, 'lng': 34.980007}"
10348,"{'lat': 32.824084, 'lng': 34.982104}"
22221,"{'lat': 32.804831, 'lng': 35.04772}"
22275,"{'lat': 32.807488, 'lng': 35.035908}"
10218,"{'lat': 32.800653, 'lng': 34.994685}"
10217,"{'lat': 32.80502, 'lng': 34.98946}"
10035,"{'lat': 32.80089, 'lng': 34.981402}"
10033,"{'lat': 32.804615, 'lng': 34.979668}"
10231,"{'lat': 32.802002, 'lng': 34.978253}"
9419,"{'lat': 32.778902, 'lng': 34.986257}"
10063,"{'lat': 32.797163, 'lng': 34.976675}"
10076,"{'lat': 32.768001, 'lng': 35.012799}"
10096,"{'lat': 32.785496, 'lng': 34.981925}"
10112,"{'lat': 32.76763, 'lng': 35.014041}"
10118,"{'lat': 32.768193, 'lng': 34.999166}"
10140,"{'lat': 32.820313, 'lng': 34.993538}"
10187,"{'lat': 32.766524, 'lng': 34.980039}"
10203,"{'lat': 32.792464, 'lng': 35.009195}"
10215,"{'lat': 32.794757, 'lng': 34.97716}"
10221,"{'lat': 32.81984, 'lng': 34.98441}"
10240,"{'lat': 32.790039, 'lng': 35.011654}"
10086,"{'lat': 32.817496, 'lng': 34.971872}"
10236,"{'lat': 32.811386, 'lng': 34.968302}"
10237,"{'lat': 32.813246, 'lng': 34.966953}"
10170,"{'lat': 32.789419, 'lng': 35.018871}"
10169,"{'lat': 32.786536, 'lng': 35.019804}"
10143,"{'lat': 32.798515, 'lng': 35.015728}"
10238,"{'lat': 32.793133, 'lng': 35.007699}"
10284,"{'lat': 32.816104, 'lng': 34.964826}"
9984,"{'lat': 32.804369, 'lng': 35.001323}"
10272,"{'lat': 32.80442, 'lng': 35.002208}"
10280,"{'lat': 32.803272, 'lng': 34.975739}"
10094,"{'lat': 32.780001, 'lng': 34.985411}"
10113,"{'lat': 32.768036, 'lng': 35.012959}"
10204,"{'lat': 32.787382, 'lng': 35.016536}"
9398,"{'lat': 32.786578, 'lng': 34.996333}"
10220,"{'lat': 32.82196, 'lng': 34.964836}"
1362,"{'lat': 32.821263, 'lng': 34.991634}"
1386,"{'lat': 32.801737, 'lng': 34.990347}"
1387,"{'lat': 32.820481, 'lng': 34.958001}"
1381,"{'lat': 32.782159, 'lng': 35.015969}"
1369,"{'lat': 32.816327, 'lng': 34.97857}"
1492,"{'lat': 32.796194, 'lng': 35.016229}"
1536,"{'lat': 32.808515, 'lng': 34.962201}"
2238,"{'lat': 32.777565, 'lng': 34.999}"
2273,"{'lat': 32.831831, 'lng': 34.974543}"
2665,"{'lat': 32.776677, 'lng': 34.999722}"
3248,"{'lat': 32.772064, 'lng': 35.003754}"
10200,"{'lat': 32.841363, 'lng': 35.07166}"
10355,"{'lat': 32.806801, 'lng': 34.993258}"
10357,"{'lat': 32.80561, 'lng': 34.997969}"
10364,"{'lat': 32.812022, 'lng': 34.993653}"
10365,"{'lat': 32.812195, 'lng': 34.994706}"
10379,"{'lat': 32.779701, 'lng': 35.005857}"
10380,"{'lat': 32.780488, 'lng': 35.009674}"
10383,"{'lat': 32.781459, 'lng': 35.013716}"
10391,"{'lat': 32.784018, 'lng': 35.021658}"
10397,"{'lat': 32.803813, 'lng': 34.998996}"
10400,"{'lat': 32.790075, 'lng': 35.016244}"
10401,"{'lat': 32.788506, 'lng': 35.017636}"
10406,"{'lat': 32.787468, 'lng': 35.020424}"
10413,"{'lat': 32.800187, 'lng': 35.009913}"
10419,"{'lat': 32.794757, 'lng': 35.016741}"
10422,"{'lat': 32.797405, 'lng': 35.013574}"
10425,"{'lat': 32.816049, 'lng': 34.999401}"
