place_id,geo_location,type
ChIJwVgcgLWkHRURVYBlET9jS5g,"{'lat': 32.764531, 'lng': 34.970853}",restaurant
ChIJN8phYXC7HRURPkYOizjfnH0,"{'lat': 32.7637613, 'lng': 34.9667082}",restaurant
ChIJ_x9LYgSlHRURKYU4wLtObuQ,"{'lat': 32.7644439, 'lng': 34.9710777}",restaurant
ChIJRX_3ErWkHRURu0q6rLQFDtQ,"{'lat': 32.7644439, 'lng': 34.9710778}",restaurant
ChIJ00gtrLakHRURnX7q5oB6BmE,"{'lat': 32.76216060000001, 'lng': 34.9674304}",restaurant
ChIJT-xNcbWkHRURigt1a08ibXE,"{'lat': 32.7640747, 'lng': 34.9717188}",restaurant
ChIJRf9NHS-lHRURHENH2CRuyfw,"{'lat': 32.76159260000001, 'lng': 34.9690999}",restaurant
ChIJbe2GmbakHRURq5J_sSfRWtg,"{'lat': 32.76159260000001, 'lng': 34.9690999}",restaurant
ChIJ1dqlcLWkHRURwJFvdufhnyo,"{'lat': 32.7633628, 'lng': 34.97217939999999}",restaurant
ChIJh1EI3dqlHRURfaEvdGNnM-w,"{'lat': 32.7633742, 'lng': 34.9724305}",restaurant
ChIJWXvXg7WkHRURvund5gZ4myA,"{'lat': 32.7633333, 'lng': 34.9725}",restaurant
ChIJoZrQR_GlHRURM_6VMfP6U0M,"{'lat': 32.7605697, 'lng': 34.9651349}",restaurant
ChIJtS8Y5LCkHRURGxu-8fyBtBk,"{'lat': 32.7605247, 'lng': 34.9651222}",restaurant
ChIJcbFhgMqkHRURa0bB-3DkDjA,"{'lat': 32.7635649, 'lng': 34.9728603}",restaurant
ChIJaYofGLakHRUR9-L7M4AUQW4,"{'lat': 32.7604408, 'lng': 34.9656829}",restaurant
ChIJfVRwhJOlHRURrPNJkPzl0uM,"{'lat': 32.7630387, 'lng': 34.97251139999999}",restaurant
ChIJiVD-hrWkHRURtFkeFT0UWTU,"{'lat': 32.7630444, 'lng': 34.97252859999999}",restaurant
ChIJ8ds-8PClHRURCpbL4BU4n6g,"{'lat': 32.7605838, 'lng': 34.9637954}",restaurant
ChIJmdqsn46lHRURhvs6LuUOn0I,"{'lat': 32.7605838, 'lng': 34.9637954}",restaurant
