dine_in,delivery,reservable,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,takeout,wheelchair_accessible_entrance,curbside_pickup,website,price_level,sunday_open,sunday_close,wednesday_open,wednesday_close,friday_open,friday_close,saturday_open,saturday_close,open_on_saturday,geo_location,percent of religious,socio-economic rank,store_100,store_500,rest_100,rest_500,bus_station_100,bus_station_500,type,kosher,grade
True,False,False,False,False,False,False,True,True,True,False,False,False,2.0,581.0,1291.0,588.0,1292.0,571.0,1116.0,766.0,1365.0,,"[32.7897922, 34.9586724]",5.670457975986278,1368.333,1,25,5,29,2,18,מסעדת קונספט,True,85.85
True,False,False,False,False,False,False,False,False,True,True,False,False,2.0,480.0,1380.0,480.0,1380.0,600.0,870.0,-1.0,-1.0,False,"[32.7896512, 34.9588636]",5.670457975986278,1401.667,1,34,5,33,2,17,,,52.498
True,True,True,True,True,False,True,True,True,True,True,True,True,2.0,720.0,1395.0,720.0,1395.0,720.0,1395.0,720.0,1395.0,True,"[32.790615, 34.9639739]",5.670457975986278,1535.0,13,131,2,34,1,14,,False,86.0
True,False,True,True,False,False,True,True,False,True,True,False,False,3.0,1080.0,1620.0,1080.0,1620.0,1080.0,1620.0,1080.0,1620.0,True,"[32.7910579, 34.9648533]",5.670457975986278,1535.0,6,140,2,32,3,14,מסעדת בשרים,False,68.0
True,False,False,False,False,False,False,True,False,True,False,False,True,1.0,660.0,1260.0,660.0,1260.0,660.0,825.0,-1.0,-1.0,False,"[32.7896489, 34.963512]",5.670457975986278,1535.0,24,133,14,39,1,15,סנדוויץ' בר,True,51.294
True,False,False,False,False,False,True,True,False,True,False,False,True,2.0,690.0,1290.0,690.0,1290.0,690.0,900.0,-1.0,-1.0,False,"[32.7896519, 34.9639407]",5.670457975986278,1535.0,44,141,14,37,0,15,,False,21.497
True,False,False,False,False,False,False,True,False,True,True,False,False,1.0,600.0,1320.0,600.0,1320.0,660.0,900.0,-1.0,-1.0,False,"[32.789528, 34.9638183]",5.670457975986278,1535.0,37,141,14,37,0,16,מסעדת בשרים,False,56.204
True,False,False,False,False,False,False,False,False,True,False,False,False,2.0,720.0,1320.0,720.0,1320.0,720.0,1320.0,750.0,1380.0,True,"[32.7895579, 34.9638721]",5.670457975986278,1535.0,41,141,14,37,0,15,פיצריות,True,51.653
True,True,False,False,True,False,False,True,False,True,True,False,True,2.0,600.0,1380.0,600.0,1380.0,600.0,1260.0,600.0,1380.0,True,"[32.789426, 34.963719]",5.670457975986278,1535.0,33,141,14,37,0,16,מסעדה אסייאתית,True,66.0
True,False,False,False,False,False,False,False,False,True,True,False,False,1.0,600.0,1290.0,600.0,1290.0,600.0,900.0,-1.0,-1.0,False,"[32.7895623, 34.9639797]",5.670457975986278,1535.0,45,142,14,37,0,15,קונדיטוריה ומאפיות,False,50.731
True,True,True,False,False,False,True,True,False,True,True,False,False,2.0,660.0,1290.0,660.0,1290.0,660.0,900.0,1170.0,1350.0,False,"[32.7895563, 34.9640184]",5.670457975986278,1535.0,45,142,15,37,0,15,מסעדה אסייאתית,True,66.438
True,False,False,False,False,False,True,True,False,True,False,False,False,2.0,690.0,1380.0,690.0,1380.0,690.0,990.0,1200.0,1320.0,False,"[32.789269, 34.963755]",5.670457975986278,1535.0,30,141,14,37,0,16,,,36.749
True,False,False,False,False,False,False,False,False,True,False,False,False,2.0,510.0,1380.0,510.0,1380.0,480.0,900.0,1230.0,1380.0,False,"[32.7896001, 34.9643118]",5.670457975986278,1535.0,57,141,18,35,0,13,,False,59.262
True,False,False,False,False,False,False,True,False,True,True,False,False,1.0,570.0,1320.0,570.0,1320.0,570.0,900.0,-1.0,-1.0,False,"[32.7894938, 34.964195]",5.670457975986278,1535.0,48,142,17,37,0,14,גלידריות,True,63.985
True,False,False,False,False,False,False,True,False,True,False,False,False,2.0,660.0,1290.0,660.0,1290.0,660.0,960.0,-1.0,-1.0,False,"[32.7894744, 34.964195]",5.670457975986278,1535.0,48,142,17,37,0,14,,,51.25
True,False,False,False,False,False,False,True,False,True,True,False,False,2.0,670.0,870.0,670.0,870.0,-1.0,-1.0,-1.0,-1.0,False,"[32.7866623, 34.9574178]",5.670457975986278,1135.0,1,26,0,8,0,7,,,74.861
True,False,False,False,False,False,False,False,False,True,True,False,True,2.0,540.0,1320.0,540.0,1320.0,540.0,870.0,1170.0,1380.0,False,"[32.7896128, 34.964523]",5.670457975986278,1535.0,69,141,18,35,0,12,,,48.11
True,True,True,True,False,False,True,True,False,True,True,False,True,2.0,660.0,1440.0,660.0,1440.0,660.0,1440.0,660.0,1440.0,True,"[32.7854385, 34.9639854]",5.670457975986278,1535.0,1,115,1,30,2,14,,False,84.0
True,False,False,False,True,True,True,True,True,True,True,False,True,2.0,480.0,1290.0,480.0,1290.0,480.0,900.0,600.0,1320.0,True,"[32.789739, 34.965082]",5.670457975986278,1535.0,78,142,9,34,1,11,,False,80.0
True,False,True,True,True,True,True,True,False,True,True,False,True,2.0,540.0,1290.0,540.0,1290.0,540.0,900.0,1200.0,1380.0,False,"[32.7895654, 34.9651331]",5.670457975986278,1535.0,76,141,10,35,1,12,,,74.0
True,True,True,True,False,False,True,True,True,True,True,False,True,3.0,720.0,1440.0,720.0,1440.0,720.0,1470.0,720.0,1470.0,True,"[32.7852485, 34.963989]",5.670457975986278,1535.0,1,67,1,25,2,13,,False,86.0
True,False,False,False,False,False,False,True,True,True,False,False,False,2.0,581.0,1291.0,588.0,1292.0,571.0,1116.0,766.0,1365.0,,"[32.7896715, 34.9652992]",5.670457975986278,1535.0,75,142,9,34,1,10,חומוסייה,True,47.248
